 12265, 11365,  4659,   4979 ,31.00 ,41.00 ,LB-R--01PAD-9-2 ,16 ,34
 12369, 11462,  4646,   4974 ,31.00 ,41.00 ,LB-R--01PAD-9-2 ,16 ,34
 12390, 11488,  4642,   4960 ,31.00 ,41.00 ,LB-R--01PAD-9-2 ,16 ,34
 12387, 11486,  4643,   4962 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12455, 11534,  4640,   4956 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12404, 11508,  4639,   4954 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12450, 11539,  4636,   4952 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12455, 11552,  4632,   4948 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12435, 11568,  4636,   4953 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12513, 11604,  4632,   4947 ,31.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12517, 11610,  4591,   4905 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12591, 11696,  4624,   4935 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12546, 11641,  4627,   4940 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12543, 11669,  4623,   4935 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12510, 11589,  4626,   4937 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12071, 11156,  4680,   4985 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12464, 11618,  4626,   4934 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12473, 11563,  4629,   4943 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12507, 11593,  4625,   4934 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12039, 11104,  4673,   4980 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12043, 11107,  4674,   4983 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12044, 11096,  4676,   4983 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12075, 11122,  4673,   4981 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12032, 11074,  4678,   4985 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12041, 11081,  4680,   4985 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12466, 11535,  4636,   4941 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12509, 11560,  4629,   4936 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12466, 11433,  4634,   4948 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12392, 11435,  4642,   4948 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12369, 11453,  4636,   4942 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12492, 11549,  4631,   4934 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12422, 11470,  4636,   4942 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12412, 11460,  4636,   4945 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12426, 11467,  4635,   4943 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12441, 11496,  4635,   4938 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12431, 11484,  4627,   4930 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12400, 11466,  4631,   4931 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12464, 11520,  4627,   4933 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12334, 11373,  4635,   4939 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12442, 11495,  4631,   4932 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12491, 11543,  4626,   4928 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12461, 11450,  4642,   4939 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12437, 11490,  4632,   4936 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12383, 11433,  4615,   4909 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12401, 11431,  4637,   4937 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12437, 11493,  4631,   4932 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12434, 11475,  4632,   4930 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12462, 11509,  4628,   4928 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12415, 11461,  4634,   4931 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12376, 11420,  4635,   4935 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12470, 11530,  4623,   4922 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12508, 11550,  4624,   4921 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12431, 11537,  4626,   4924 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12515, 11557,  4626,   4924 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12481, 11503,  4628,   4927 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12444, 11492,  4631,   4927 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12467, 11502,  4631,   4927 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12417, 11448,  4637,   4933 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12332, 11475,  4634,   4931 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12482, 11516,  4626,   4924 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12471, 11508,  4631,   4928 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12471, 11510,  4633,   4936 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12451, 11486,  4632,   4927 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12401, 11384,  4639,   4934 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12432, 11466,  4632,   4928 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12481, 11513,  4626,   4921 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12484, 11516,  4626,   4921 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12528, 11564,  4619,   4913 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12334, 11404,  4642,   4936 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12355, 11397,  4637,   4932 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12280, 11302,  4644,   4941 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12354, 11357,  4646,   4939 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12354, 11345,  4646,   4939 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12379, 11389,  4646,   4937 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12379, 11379,  4651,   4941 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12456, 11459,  4638,   4935 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12439, 11434,  4641,   4927 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12435, 11450,  4635,   4924 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12518, 11531,  4632,   4923 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12453, 11470,  4633,   4923 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12467, 11478,  4634,   4927 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12470, 11461,  4635,   4925 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12457, 11486,  4635,   4926 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12392, 11325,  4652,   4944 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12560, 11566,  4627,   4918 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
 12537, 11549,  4618,   4912 ,30.00 ,42.00 ,LB-R--01PAD-9-2 ,16 ,34
