  MQ2,MQ7,MQ135,MQ3,Temperature,Humidity,Radius,Lenth
  1661,  1007,  1085,    821 ,30.00 ,46.00 ,31 ,12
  1661,  1007,  1085,    821 ,30.00 ,46.00 ,31 ,12
  1664,  1009,  1086,    822 ,30.00 ,46.00 ,31 ,12
  1663,  1009,  1086,    822 ,30.00 ,46.00 ,31 ,12
  1663,  1009,  1086,    823 ,30.00 ,46.00 ,31 ,12
  1664,  1010,  1085,    823 ,30.00 ,46.00 ,31 ,12
  1665,  1010,  1086,    823 ,30.00 ,46.00 ,31 ,12
  1665,  1011,  1087,    823 ,30.00 ,46.00 ,31 ,12
  1665,  1010,  1086,    824 ,30.00 ,46.00 ,31 ,12
  1665,  1011,  1085,    823 ,30.00 ,46.00 ,31 ,12
  1666,  1011,  1085,    824 ,30.00 ,46.00 ,31 ,12
  1666,  1012,  1085,    826 ,30.00 ,46.00 ,31 ,12
  1668,  1012,  1085,    826 ,30.00 ,46.00 ,31 ,12
  1670,  1013,  1084,    827 ,30.00 ,46.00 ,31 ,12
  1671,  1014,  1085,    827 ,30.00 ,46.00 ,31 ,12
  1670,  1013,  1084,    827 ,30.00 ,46.00 ,31 ,12
  1672,  1012,  1084,    827 ,30.00 ,46.00 ,31 ,12
  1674,  1014,  1084,    828 ,30.00 ,46.00 ,31 ,12
  1675,  1013,  1084,    828 ,30.00 ,46.00 ,31 ,12
  1673,  1013,  1085,    828 ,30.00 ,46.00 ,31 ,12
  1673,  1015,  1084,    828 ,30.00 ,46.00 ,31 ,12
  1672,  1014,  1085,    829 ,30.00 ,46.00 ,31 ,12
  1671,  1016,  1085,    829 ,30.00 ,46.00 ,31 ,12
  1669,  1016,  1085,    830 ,30.00 ,46.00 ,31 ,12
  1675,  1016,  1085,    833 ,29.00 ,47.00 ,31 ,12
  1676,  1016,  1084,    833 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1083,    836 ,29.00 ,47.00 ,31 ,12
  1677,  1017,  1083,    836 ,29.00 ,47.00 ,31 ,12
  1676,  1017,  1082,    836 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1083,    837 ,29.00 ,47.00 ,31 ,12
  1678,  1016,  1082,    838 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1082,    839 ,29.00 ,47.00 ,31 ,12
  1676,  1017,  1081,    839 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1081,    840 ,29.00 ,47.00 ,31 ,12
  1683,  1018,  1081,    843 ,29.00 ,48.00 ,31 ,12
  1683,  1017,  1083,    843 ,29.00 ,48.00 ,31 ,12
  1683,  1020,  1082,    845 ,29.00 ,48.00 ,31 ,12
  1682,  1019,  1082,    847 ,29.00 ,48.00 ,31 ,12
  1682,  1018,  1083,    847 ,29.00 ,48.00 ,31 ,12
  1680,  1020,  1082,    847 ,29.00 ,48.00 ,31 ,12
  1682,  1019,  1082,    849 ,29.00 ,48.00 ,31 ,12
  1680,  1019,  1081,    848 ,29.00 ,48.00 ,31 ,12
  1688,  1021,  1081,    852 ,29.00 ,48.00 ,31 ,12
  1690,  1021,  1081,    853 ,29.00 ,48.00 ,31 ,12
  1692,  1021,  1081,    853 ,29.00 ,48.00 ,31 ,12
  1691,  1022,  1083,    853 ,29.00 ,48.00 ,31 ,12
  1691,  1021,  1081,    854 ,29.00 ,48.00 ,31 ,12
  1693,  1021,  1082,    854 ,29.00 ,48.00 ,31 ,12
  1690,  1021,  1082,    855 ,29.00 ,48.00 ,31 ,12
  1690,  1020,  1081,    855 ,29.00 ,48.00 ,31 ,12
  1690,  1020,  1080,    855 ,29.00 ,48.00 ,31 ,12
  1690,  1021,  1080,    856 ,29.00 ,48.00 ,31 ,12
  1692,  1022,  1081,    857 ,29.00 ,48.00 ,31 ,12
  1691,  1022,  1079,    857 ,29.00 ,48.00 ,31 ,12
  1690,  1021,  1079,    857 ,29.00 ,48.00 ,31 ,12
  1691,  1021,  1079,    857 ,29.00 ,48.00 ,31 ,12
  1690,  1021,  1079,    857 ,29.00 ,48.00 ,31 ,12
  1690,  1021,  1079,    858 ,29.00 ,48.00 ,31 ,12
  1693,  1022,  1077,    858 ,29.00 ,48.00 ,31 ,12
  1690,  1022,  1077,    860 ,29.00 ,48.00 ,31 ,12
  1692,  1023,  1077,    859 ,29.00 ,48.00 ,31 ,12
  1689,  1023,  1079,    860 ,29.00 ,48.00 ,31 ,12
  1688,  1024,  1079,    860 ,29.00 ,48.00 ,31 ,12
  1688,  1024,  1077,    860 ,29.00 ,48.00 ,31 ,12
  1692,  1023,  1077,    861 ,29.00 ,48.00 ,31 ,12
  1691,  1023,  1078,    860 ,29.00 ,48.00 ,31 ,12
  1691,  1023,  1079,    862 ,29.00 ,48.00 ,31 ,12
  1690,  1023,  1078,    862 ,29.00 ,48.00 ,31 ,12
  1689,  1023,  1078,    862 ,29.00 ,48.00 ,31 ,12
  1691,  1026,  1078,    864 ,29.00 ,49.00 ,31 ,12
  1695,  1025,  1079,    866 ,28.00 ,49.00 ,31 ,12
  1694,  1025,  1079,    866 ,28.00 ,49.00 ,31 ,12
  1695,  1028,  1079,    867 ,28.00 ,49.00 ,31 ,12
  1693,  1026,  1078,    867 ,28.00 ,49.00 ,31 ,12
  1693,  1027,  1079,    867 ,28.00 ,49.00 ,31 ,12
  1693,  1027,  1079,    867 ,28.00 ,49.00 ,31 ,12
  1694,  1028,  1079,    868 ,28.00 ,49.00 ,31 ,12
  1695,  1027,  1079,    868 ,28.00 ,49.00 ,31 ,12
  1694,  1027,  1078,    868 ,28.00 ,49.00 ,31 ,12
  1692,  1026,  1079,    868 ,28.00 ,49.00 ,31 ,12
  1693,  1026,  1080,    869 ,28.00 ,49.00 ,31 ,12
  1694,  1026,  1079,    869 ,28.00 ,49.00 ,31 ,12
  1693,  1026,  1080,    870 ,28.00 ,49.00 ,31 ,12
  1694,  1025,  1079,    869 ,28.00 ,49.00 ,31 ,12
  1697,  1027,  1078,    872 ,28.00 ,49.00 ,31 ,12
  1698,  1027,  1079,    872 ,28.00 ,49.00 ,31 ,12
  1698,  1028,  1079,    871 ,28.00 ,49.00 ,31 ,12
  1699,  1027,  1079,    872 ,28.00 ,49.00 ,31 ,12
  1697,  1027,  1079,    873 ,28.00 ,50.00 ,31 ,12
  1700,  1027,  1079,    874 ,28.00 ,50.00 ,31 ,12
  1702,  1028,  1080,    873 ,28.00 ,50.00 ,31 ,12
  1700,  1028,  1079,    875 ,28.00 ,50.00 ,31 ,12
  1701,  1029,  1079,    875 ,28.00 ,50.00 ,31 ,12
  1703,  1029,  1079,    876 ,28.00 ,50.00 ,31 ,12
  1702,  1028,  1079,    876 ,28.00 ,50.00 ,31 ,12
  1702,  1027,  1079,    876 ,28.00 ,50.00 ,31 ,12
  1703,  1027,  1079,    876 ,28.00 ,50.00 ,31 ,12
  1701,  1028,  1079,    877 ,28.00 ,50.00 ,31 ,12
  1704,  1028,  1079,    877 ,28.00 ,50.00 ,31 ,12
  1705,  1028,  1078,    878 ,28.00 ,50.00 ,31 ,12
  1700,  1029,  1079,    878 ,28.00 ,50.00 ,31 ,12
  1703,  1029,  1079,    880 ,28.00 ,50.00 ,31 ,12
  1702,  1029,  1078,    880 ,28.00 ,50.00 ,31 ,12
  1702,  1030,  1079,    880 ,28.00 ,50.00 ,31 ,12
  1701,  1030,  1079,    881 ,28.00 ,50.00 ,31 ,12
  1701,  1030,  1079,    881 ,28.00 ,50.00 ,31 ,12
  1701,  1030,  1078,    881 ,28.00 ,50.00 ,31 ,12
  1701,  1030,  1079,    880 ,28.00 ,50.00 ,31 ,12
  1702,  1030,  1079,    881 ,28.00 ,50.00 ,31 ,12
  1703,  1030,  1079,    882 ,28.00 ,51.00 ,31 ,12
  1702,  1030,  1078,    881 ,28.00 ,51.00 ,31 ,12
  1703,  1030,  1078,    881 ,28.00 ,51.00 ,31 ,12
  1703,  1031,  1079,    882 ,28.00 ,51.00 ,31 ,12
