2022-12-22,16:19:37  8907,  6367,  6647,29.00 ,41.00
2022-12-22,16:19:42  8881,  6348,  6632,29.00 ,41.00
2022-12-22,16:19:51  8841,  6320,  6604,29.00 ,41.00
2022-12-22,16:19:56  8822,  6309,  6587,29.00 ,42.00
2022-12-22,16:20:02  8796,  6291,  6568,29.00 ,42.00
2022-12-22,16:20:07  8777,  6278,  6558,29.00 ,42.00
2022-12-22,16:20:13  8755,  6264,  6543,29.00 ,42.00
2022-12-22,16:20:18  8735,  6243,  6525,29.00 ,42.00
2022-12-22,16:20:24  8709,  6228,  6505,29.00 ,42.00
2022-12-22,16:20:30  8687,  6214,  6489,29.00 ,42.00
2022-12-22,16:20:35  8674,  6206,  6482,29.00 ,42.00
2022-12-22,16:20:41  8663,  6192,  6468,29.00 ,42.00
2022-12-22,16:20:46  8632,  6173,  6445,29.00 ,42.00
2022-12-22,16:20:52  8612,  6160,  6430,29.00 ,42.00
2022-12-22,16:20:57  8593,  6147,  6421,29.00 ,42.00
2022-12-22,16:21:03  8572,  6134,  6402,29.00 ,42.00
2022-12-22,16:21:09  8562,  6123,  6395,29.00 ,42.00
2022-12-22,16:21:14  8548,  6112,  6381,29.00 ,42.00
2022-12-22,16:21:20  8521,  6106,  6365,29.00 ,42.00
2022-12-22,16:21:25  8487,  6080,  6345,29.00 ,42.00
2022-12-22,16:21:31  8470,  6064,  6327,29.00 ,42.00
2022-12-22,16:21:36  8454,  6057,  6315,29.00 ,42.00
2022-12-22,16:21:42  8433,  6040,  6300,29.00 ,42.00
2022-12-22,16:21:48  8416,  6027,  6287,29.00 ,42.00
2022-12-22,16:21:53  8390,  6012,  6270,29.00 ,42.00
2022-12-22,16:21:59  8370,  6001,  6254,29.00 ,42.00
2022-12-22,16:22:04  8355,  5985,  6246,29.00 ,42.00
2022-12-22,16:22:10  8350,  5975,  6235,29.00 ,42.00
2022-12-22,16:22:16  8328,  5961,  6218,29.00 ,42.00
2022-12-22,18:05:59  4591,  4471,  3846,30.00 ,45.00
2022-12-22,18:06:05  4601,  3933,  3854,30.00 ,45.00
2022-12-22,18:08:11  6409,  3797,  5699,30.00 ,44.00
2022-12-22,18:08:17  6455,  3790,  5719,30.00 ,45.00
2023-04-11,00:14:34  2684,  2234,  1189,31.00 ,44.00
2023-04-11,00:14:34  2685,  2231,  1182,31.00 ,44.00
2023-04-11,00:21:55  2704,  2237,  1157,30.00 ,41.00
