
26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,26.0,35.0,26.0,35.0,27.0,35.0,26.0,34.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,35.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,27.0,34.0,26.0,34.0,26.0,34.0,26.0,34.0,26.0,34.0,27.0,34.0,27.0,34.0,/n26.0,33.0,/n26.0,33.0,/n26.0,33.0,/n26.0,33.0,/n26.0,33.0,/n26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,26.0,33.0,25.0,33.0,26.0,34.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,35.0,26.0,34.0,26.0,34.0,26.0,35.0,26.0,36.0,26.0,37.0,27.0,36.0,27.0,36.0,27.0,36.0,27.0,36.0,27.0,36.0,27.0,36.0,28.0,33.0,28.0,33.0,28.0,33.0,28.0,33.0,28.0,33.0,28.0,33.0,28.0,34.0,28.0,34.0,28.0,34.0,
27.0,32.0,
27.0,32.0,
27.0,34.0,
27.0,34.0,
27.0,35.0,
27.0,36.0,
26.0,32.0,
26.0,32.0,
26.0,32.0,
26.0,33.0,
26.0,33.0,
26.0,33.0,
27.0,34.0,
27.0,34.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,33.0,
27.0,34.0,
27.0,34.0,
27.0,33.0,
27.0,33.0,
26.0,33.0,
26.0,33.0,
26.0,32.0,
26.0,32.0,
23.0,46.0,
23.0,45.0,
23.0,44.0,
25.0,32.0,
25.0,32.0,
25.0,32.0,
